Movie,Director,Runtime,Release,User-1,User-2,User-3,User-4,User-5,User-6,User-7,User-8,User-9,User-10,User-11,User-12,User-13,User-14,User-15,User-16,User-17,User-18,User-19,User-20,Average
Black Panther: Wakanda Forever,Ryan Coogler,161 min,2022,3,7,4,4,4,3,4,10,9,3,3,7,4,8,6,4,6,8,10,7,5.7
Avatar: The Way of Water,James Cameron,192 min,2022,3,4,5,7,6,10,3,5,9,7,3,7,4,10,7,5,4,3,3,5,5.5
Plane,Jean-François Richet,107 min,2023,7,9,4,8,3,3,9,5,7,4,4,8,10,4,3,9,5,10,5,4,6.05
Everything Everywhere All at Once,Daniel Scheinert,139 min,2022,9,5,6,10,6,6,9,7,8,3,6,3,3,6,8,8,5,10,7,4,6.45
Fast X,Louis Leterrier,100min,2023,8,9,4,7,4,3,6,7,8,10,3,7,7,7,10,7,3,3,8,3,6.2
Ant-Man and the Wasp: Quantumania,Peyton Reed,125 min,2023,9,3,10,3,7,3,9,3,10,4,9,6,5,10,10,6,4,10,6,6,6.65
Shotgun Wedding,Jason Moore,100 min,2022,7,6,3,5,3,8,10,7,4,8,3,8,6,3,9,7,5,3,10,9,6.2
Bullet Train,David Leitch,127 min,2022,10,7,8,4,5,9,8,7,10,3,4,7,4,5,3,7,9,10,6,5,6.55
All Quiet on the Western Front,Edward Berger,148 min,2022,10,5,4,10,6,3,8,8,10,5,8,10,3,6,7,4,3,3,5,7,6.25
Top Gun: Maverick,Joseph Kosinski,130 min,2022,6,5,4,6,3,7,8,6,10,3,7,10,9,7,9,3,4,5,6,3,6.05
Pathaan,Siddharth Anand,146 min,2023,5,8,4,7,6,4,3,6,10,10,5,5,7,5,10,5,6,9,8,9,6.6
Teen Wolf: The Movie,Russell Mulcahy,140 min,2023,5,9,7,5,9,8,3,5,4,9,7,4,8,8,3,6,3,3,6,10,6.1
Black Panther,Ryan Coogler,134 min,2018,6,6,10,9,10,3,6,8,4,10,3,7,9,4,4,10,7,10,9,6,7.05
The Batman,Matt Reeves,176 min,2022,6,8,6,5,6,10,7,9,10,9,9,10,9,6,5,5,10,6,10,7,7.65
Top Gun,Tony Scott,109 min,1986,4,7,5,8,9,4,6,4,6,8,8,6,8,6,9,7,5,7,6,4,6.35
Avatar,James Cameron,162 min,2009,3,9,3,6,10,3,10,4,8,4,7,6,9,4,5,6,6,9,9,5,6.3
The Wandering Earth II,Frant Gwo,173 min,2023,8,8,7,4,4,5,5,4,3,8,8,4,5,5,10,10,6,9,3,7,6.15
Black Adam,Jaume Collet-Serra,125 min,2022,7,6,9,8,8,4,8,6,3,4,6,7,10,3,8,5,7,3,10,5,6.35
Operation Fortune: Ruse de guerre,Guy Ritchie,114 min,2023,7,6,7,10,10,4,10,4,3,4,10,10,5,8,3,6,6,8,7,8,6.8
Jurassic World: Dominion,Colin Trevorrow,147 min,2022,10,6,4,8,3,10,4,4,8,5,7,8,9,8,9,7,6,8,3,8,6.75
The Hunger Games,Gary Ross,142 min,2012,8,6,7,8,8,4,5,7,8,4,5,5,5,3,9,9,9,5,10,6,6.55
Devotion,J.D. Dillard,139 min,2022,7,10,9,5,4,6,9,5,6,8,10,5,8,3,8,10,10,8,8,6,7.25
The Northman,Robert Eggers,137 min,2022,3,3,8,10,6,4,3,3,10,3,5,5,6,7,9,4,3,5,8,4,5.45
Dune,Denis Villeneuve,155 min,2021,7,8,8,5,5,6,7,10,7,7,10,5,9,6,8,6,6,9,3,6,6.9
The Flash,Andy Muschietti,140min,2023,4,6,5,10,5,8,5,8,10,6,6,9,3,7,10,6,8,4,6,4,6.5
The Unbearable Weight of Massive Talent,Tom Gormican,107 min,2022,5,5,5,6,10,8,7,10,3,9,6,10,4,3,4,5,8,4,10,8,6.5
The Woman King,Gina Prince-Bythewood,135 min,2022,10,8,10,6,5,5,9,6,8,5,3,6,10,3,5,6,10,7,4,10,6.8
RRR,S.S. Rajamouli,187 min,2022,10,5,10,3,6,7,6,4,6,4,10,10,5,6,6,9,4,9,9,9,6.9
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,178 min,2001,4,3,7,9,7,4,8,8,6,8,10,4,8,9,7,3,6,6,5,9,6.55
The Covenant,Guy Ritchie,105min,2023,3,4,10,6,4,9,8,9,6,3,5,3,3,10,8,10,4,9,9,8,6.55
Thor: Love and Thunder,Taika Waititi,118 min,2022,3,3,7,7,9,8,7,5,3,5,10,5,10,4,10,8,8,5,3,8,6.4
Dungeons & Dragons: Honor Among Thieves,John Francis Daley,134 min,2023,9,4,6,8,3,7,10,3,6,3,4,10,6,9,5,5,7,4,7,4,6
The Locksmith,Nicolas Harvard,92 min,2023,6,9,5,3,9,9,3,5,7,4,8,9,7,6,3,7,9,5,10,8,6.6
The Dark Knight,Christopher Nolan,152 min,2008,5,4,10,4,9,4,7,9,8,3,10,4,8,9,7,8,6,6,8,6,6.75
Inception,Christopher Nolan,148 min,2010,7,10,7,5,6,4,6,5,5,9,6,10,7,4,3,9,3,10,9,4,6.45
Spider-Man: No Way Home,Jon Watts,148 min,2021,4,8,5,9,6,4,9,4,10,7,3,5,9,7,5,8,9,4,9,8,6.65
Indiana Jones and the Dial of Destiny,James Mangold,100min,2023,8,9,8,5,5,6,4,9,8,10,8,6,9,6,4,5,10,9,9,10,7.4
John Wick: Chapter 4,Chad Stahelski,169 min,2023,6,3,8,7,4,4,4,8,8,8,3,8,8,6,7,10,9,10,4,3,6.4
Gladiator,Ridley Scott,155 min,2000,9,8,4,10,9,3,4,8,5,5,6,6,4,7,10,3,6,9,5,7,6.4
