Movie,Director,Runtime,Release,User-1,User-2,User-3,User-4,User-5,User-6,User-7,User-8,User-9,User-10,User-11,User-12,User-13,User-14,User-15,User-16,User-17,User-18,User-19,User-20
Black Panther: Wakanda Forever,Ryan Coogler,161 min,2022,10,8,9,3,4,5,5,6,10,9,4,4,8,7,7,10,4,4,7,5
Avatar: The Way of Water,James Cameron,162 min,2022,10,7,10,4,8,7,7,8,8,9,5,4,7,9,10,4,8,10,7,5
Everything Everywhere All at Once,Dan Kwan,163 min,2022,8,6,7,7,5,5,6,7,7,7,6,10,9,10,3,5,8,5,3,5
Puss in Boots: The Last Wish,Joel Crawford,164 min,2022,8,5,5,7,6,5,9,7,8,3,4,9,5,10,10,3,6,7,10,7
Ant-Man and the Wasp: Quantumania,Peyton Reed,165 min,2023,8,10,5,6,4,8,9,3,3,6,7,8,7,4,10,6,6,4,5,8
True Spirit,Sarah Spillane,166 min,2023,7,8,9,3,3,4,8,10,5,4,9,6,8,5,9,8,10,9,5,6
Pathaan,Siddharth Anand,167 min,2023,8,8,7,5,6,3,8,7,6,10,8,4,6,3,6,6,9,6,10,5
"Lyle, Lyle, Crocodile",Josh Gordon,168 min,2022,4,4,9,3,8,9,5,8,6,10,8,9,8,6,8,7,4,3,6,5
Black Panther,Ryan Coogler,169 min,2018,10,10,9,9,9,6,8,9,5,5,10,5,4,10,5,6,9,9,8,9
Avatar,James Cameron,170 min,2009,6,9,6,8,8,9,7,8,4,10,5,7,9,8,3,5,9,10,5,4
The Super Mario Bros. Movie,Aaron Horvath,171 min,2023,8,3,6,10,6,3,5,5,4,7,3,3,8,4,7,10,3,10,8,3
The Wandering Earth II,Frant Gwo,172 min,2023,9,7,5,8,10,10,8,4,3,9,6,10,4,6,4,8,5,3,5,6
Harry Potter and the Sorcerer's Stone,Chris Columbus,173 min,2001,9,5,3,8,9,3,10,10,10,7,3,9,5,9,4,5,10,8,3,3
Black Adam,Jaume Collet-Serra,174 min,2022,5,7,10,5,5,6,6,9,10,3,5,10,3,5,6,3,5,9,8,7
Interstellar,Christopher Nolan,175 min,2014,9,3,7,6,7,4,4,5,9,3,3,4,8,6,10,9,7,9,4,6
Jurassic World: Dominion,Colin Trevorrow,176 min,2022,10,3,7,9,6,9,10,9,6,5,10,10,9,4,6,9,3,8,7,4
The Hunger Games,Gary Ross,177 min,2012,8,9,5,3,7,4,4,4,7,10,8,10,4,9,4,4,6,4,4,10
The Northman,Robert Eggers,178 min,2022,9,4,10,4,6,4,10,6,6,9,3,10,3,5,9,4,8,7,10,3
Dune,Denis Villeneuve,179 min,2021,3,5,5,5,10,9,4,4,10,9,4,6,8,9,5,9,7,4,5,6
The Flash,Andy Muschietti,180 min,2023,7,7,10,9,7,7,9,6,8,9,10,6,6,6,3,10,6,6,10,8
RRR,S.S. Rajamouli,181 min,2022,4,10,9,6,6,5,8,5,5,3,3,9,7,4,3,7,6,4,10,5
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,182 min,2001,7,6,9,5,9,7,4,4,3,9,4,8,7,9,8,8,9,4,8,4
Thor: Love and Thunder,Taika Waititi,183 min,2022,10,10,4,8,9,5,6,4,9,10,9,9,4,7,3,7,10,9,5,5
Dungeons & Dragons: Honor Among Thieves,John Francis Daley,184 min,2023,4,7,9,4,8,6,8,7,3,6,4,7,7,9,10,3,7,3,6,9
Inception,Christopher Nolan,185 min,2010,10,9,9,4,5,7,7,9,9,3,6,4,7,10,5,3,10,10,3,4
Spider-Man: No Way Home,Jon Watts,186 min,2021,3,9,6,6,3,4,9,9,7,7,3,7,6,7,4,4,7,6,10,10
