Movie,Director,Runtime,Release,User-1,User-2,User-3,User-4,User-5,User-6,User-7,User-8,User-9,User-10,User-11,User-12,User-13,User-14,User-15,User-16,User-17,User-18,User-19,User-20
Puss in Boots: The Last Wish,Joel Crawford,102min,2022,3,8,3,9,6,3,3,7,10,4,5,9,4,6,9,10,7,10,9,6
The Super Mario Bros. Movie,Aaron Horvath,92min,2023,8,4,8,4,5,10,8,6,5,9,5,10,7,4,5,8,7,6,4,8
Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,Haruo Sotozaki,110min,2023,5,8,7,8,4,6,9,6,6,6,8,6,5,7,10,9,8,6,5,3
Guillermo del Toro's Pinocchio,Guillermo del Toro,117min,2022,6,10,5,3,4,5,9,10,7,3,6,5,7,10,4,7,10,10,3,6
"Lyle, Lyle, Crocodile",Josh Gordon,106min,2022,10,8,10,6,7,5,6,9,4,5,5,3,7,3,4,10,3,9,8,5
The Lion King,Jon Favreau,118min,2019,8,7,8,6,8,10,4,7,10,4,7,6,4,10,9,4,4,9,7,7
Marcel the Shell with Shoes On,Dean Fleischer Camp,90min,2021,6,5,7,6,6,4,8,4,9,10,5,10,4,3,8,10,5,5,3,7
Encanto,Jared Bush,102min,2021,3,8,8,10,6,6,8,5,5,5,8,3,3,9,5,9,9,7,3,6
Sing 2,Garth Jennings,110 min,2021,9,6,8,7,9,10,8,6,7,7,5,3,9,6,10,9,6,9,5,3
Mummies,Juan Jes? Garc? Galocha,88 min,2023,8,8,7,4,10,3,3,10,10,9,4,5,4,3,5,6,8,8,5,6
Puss in Boots,Chris Miller,90 min,2011,10,6,7,8,5,5,8,8,8,7,6,6,5,3,8,8,7,8,3,8
Spider-Man: Into the Spider-Verse,Bob Persichetti,117 min,2018,6,4,10,10,5,10,5,3,7,5,8,8,3,6,7,9,8,7,4,6
The Lion King,Roger Allers,88 min,1994,9,10,9,5,5,4,5,8,6,10,5,7,7,6,6,7,10,3,6,6
Strange World,Don Hall,102 min,2022,8,8,4,8,5,6,3,5,8,7,6,6,7,9,5,9,5,9,3,6
Cars,John Lasseter,117 min,2006,9,9,6,9,8,5,5,6,7,8,6,10,6,7,9,3,7,6,9,4
The Bad Guys,Pierre Perifel,100 min,2022,5,3,4,7,8,9,6,3,8,4,8,8,3,7,9,4,9,8,10,10
Spirited Away,Hayao Miyazaki,125 min,2001,10,3,5,9,3,3,8,8,5,9,8,4,3,3,10,6,10,8,5,6
Turning Red,Domee Shi,100 min,2022,6,8,10,9,5,9,7,3,5,8,9,5,6,10,7,7,5,3,6,10
Spider-Man: Across the Spider-Verse,Joaquim Dos Santos,140min,2023,6,4,4,7,10,3,6,3,10,8,9,9,9,9,6,3,4,9,7,3
Ratatouille,Brad Bird,111 min,2007,10,3,10,8,10,10,10,5,3,3,4,9,8,10,9,5,10,8,10,4
Minions: The Rise of Gru,Kyle Balda,87 min,2022,5,3,10,9,7,5,6,7,7,7,6,6,5,6,5,6,10,10,8,6
The Sea Beast,Chris Williams,115 min,2022,8,6,8,6,10,8,4,4,3,8,9,9,9,7,10,10,8,4,10,7
Zootopia,Byron Howard,108 min,2016,8,10,4,8,8,3,10,7,5,9,9,3,6,5,9,9,10,8,9,4
Moana,Ron Clements,107 min,2016,9,4,5,3,9,6,8,3,7,5,3,9,7,3,8,8,9,9,8,6
Strays,Josh Greenbaum,93min,2023,7,7,4,3,8,5,3,3,8,4,7,9,7,10,7,7,5,8,3,9
Shrek,Andrew Adamson,90 min,2001,4,4,10,9,9,3,7,5,10,9,5,8,3,7,5,5,10,3,8,6
Sing,Garth Jennings,108 min,2016,6,9,8,7,4,6,5,9,6,3,5,3,6,8,6,8,10,4,10,7
Toy Story,John Lasseter,81 min,1995,9,10,10,8,4,8,9,4,10,3,10,3,8,10,3,5,6,5,10,5
Suzume,Makoto Shinkai,122 min,2022,6,4,6,3,7,4,9,3,3,7,8,9,9,5,4,6,8,6,7,4
Frozen,Chris Buck,102 min,2013,8,10,8,6,3,3,5,7,7,4,3,4,4,10,5,6,6,7,7,7
Howl's Moving Castle,Hayao Miyazaki,119 min,2004,4,3,6,4,9,5,3,3,10,8,7,5,10,7,6,6,9,7,9,10
Inside Out,Pete Docter,95 min,2015,8,5,8,9,7,10,7,9,5,10,7,4,6,4,4,6,6,4,7,9
Your Name.,Makoto Shinkai,106 min,2016,6,4,9,7,4,7,7,7,4,7,7,9,9,5,9,8,6,6,4,9
Coco,Lee Unkrich,105 min,2017,8,4,8,4,10,9,5,3,6,5,5,8,3,4,10,3,10,8,10,6
How to Train Your Dragon,Dean DeBlois,98 min,2010,6,3,5,7,9,8,5,6,8,8,3,5,3,3,6,5,9,6,6,7
Kung Fu Panda,Mark Osborne,92 min,2008,6,7,3,9,3,6,3,6,8,10,7,5,9,6,4,9,9,9,9,8
Finding Nemo,Andrew Stanton,100 min,2003,9,8,9,3,6,3,6,4,4,4,7,5,4,9,8,3,10,5,9,8
Tangled,Nathan Greno,100 min,2010,10,7,3,7,3,7,9,5,9,5,6,8,8,3,5,3,9,10,8,7
Hercules,Ron Clements,93 min,1997,7,9,6,9,3,3,5,5,9,6,7,6,5,4,10,6,7,7,8,10
The Amazing Maurice,Toby Genkel,93 min,2022,8,6,5,6,6,7,8,9,10,5,3,5,4,7,10,3,7,9,6,8
Disenchanted,Adam Shankman,119 min,2022,7,3,10,4,3,6,9,3,5,5,9,7,4,4,6,4,3,8,7,8
