Movie,Director,Runtime,Release,User-1,User-2,User-3,User-4,User-5,User-6,User-7,User-8,User-9,User-10,User-11,User-12,User-13,User-14,User-15,User-16,User-17,User-18,User-19,User-20
Fast X,Louis Leterrier,141min,2023,9,4,3,4,5,10,9,10,3,10,4,8,9,9,3,5,6,10,10,10
Glass Onion,Rian Johnson,139 min,2022,5,7,4,7,10,5,6,10,6,10,8,8,9,3,4,7,7,10,3,10
Infinity Pool,Brandon Cronenberg,117 min,2023,5,4,3,7,5,7,6,9,7,4,5,8,6,10,8,4,8,7,6,6
The Pale Blue Eye,Scott Cooper,128 min,2022,6,9,10,10,7,7,9,4,9,7,6,7,3,10,7,6,8,5,4,10
Infiesto,Patxi Amezcua,96 min,2023,5,9,9,3,5,4,3,6,3,8,3,5,3,8,3,8,7,10,3,3
The Batman,Matt Reeves,176 min,2022,4,4,3,8,10,5,9,8,7,6,7,9,7,3,10,5,5,10,3,6
The Godfather,Francis Ford Coppola,175 min,1972,3,10,8,6,8,8,7,7,9,5,7,3,4,7,9,6,9,6,10,7
Knives Out,Rian Johnson,130 min,2019,5,7,4,9,8,3,7,8,5,4,8,4,4,7,6,3,7,10,6,4
Vadh,Jaspal Singh Sandhu,110 min,2022,9,9,3,4,3,6,8,8,10,9,8,6,4,9,3,3,10,4,8,4
The Wolf of Wall Street,Martin Scorsese,180 min,2013,6,4,10,8,3,8,8,3,6,5,3,8,9,10,9,6,6,8,4,4
The Unbearable Weight of Massive Talent,Tom Gormican,107 min,2022,3,8,8,9,7,6,6,3,6,10,9,10,7,7,9,9,4,5,8,10
Pulp Fiction,Quentin Tarantino,154 min,1994,9,10,9,6,5,10,7,3,7,6,5,6,3,7,5,5,4,9,8,10
The Covenant,Guy Ritchie,123min,2023,4,5,8,8,8,6,10,5,3,5,6,9,8,10,7,5,10,4,4,4
The Dark Knight,Christopher Nolan,152 min,2008,8,6,8,7,7,4,5,5,10,10,8,4,6,7,6,8,3,7,4,7
American Psycho,Mary Harron,102 min,2000,10,5,4,6,6,10,10,10,6,9,9,8,4,10,10,4,3,7,6,9
John Wick: Chapter 4,Chad Stahelski,169 min,2023,8,8,9,6,5,10,7,9,10,8,3,8,10,5,9,10,5,3,7,10
Decision to Leave,Park Chan-wook,139 min,2022,7,10,4,5,9,4,4,4,6,3,4,3,9,4,6,3,5,4,7,6
Little Dixie,John Swab,105 min,2023,7,4,3,6,5,3,5,3,6,7,7,6,6,10,7,7,5,5,10,8
An Action Hero,Anirudh Iyer,130 min,2022,7,10,9,9,9,6,9,5,4,3,6,6,4,7,3,6,3,4,3,7
Killers of the Flower Moon,Martin Scorsese,206min,2023,5,4,4,3,10,6,3,6,7,9,9,4,6,5,9,6,8,4,5,3
Luther: The Fallen Sun,Jamie Payne,129 min,2023,4,3,8,4,10,9,6,3,7,4,9,4,6,7,3,3,4,10,9,3
John Wick,Chad Stahelski,101 min,2014,10,10,8,8,9,5,9,9,4,8,5,9,4,6,5,8,4,4,9,6
The Gentlemen,Guy Ritchie,113 min,2019,8,10,3,6,5,3,7,6,4,7,6,4,9,5,7,4,9,9,6,7
F9: The Fast Saga,Justin Lin,143 min,2021,5,6,3,9,7,7,7,4,4,4,8,5,8,7,5,10,10,5,9,5
Violent Night,Tommy Wirkola,112 min,2022,8,8,9,3,6,6,5,6,4,3,6,6,5,10,5,7,8,4,3,9
Nobody,Ilya Naishuller,92 min,2021,6,10,10,10,10,5,3,5,7,7,5,8,7,5,8,3,7,4,7,7
Prisoners,Denis Villeneuve,153 min,2013,5,8,3,3,9,7,10,9,7,5,6,3,6,9,4,10,8,4,9,5
Catch Me If You Can,Steven Spielberg,141 min,2002,5,4,5,3,8,7,9,7,3,8,7,9,8,3,10,6,7,8,6,10
Minions: The Rise of Gru,Kyle Balda,87 min,2022,9,10,3,4,3,10,7,3,3,10,9,8,4,7,8,7,6,10,10,4
Joker,Todd Phillips,122 min,2019,5,8,6,4,10,10,7,4,3,3,8,6,10,6,4,10,7,6,9,4
The Fast and the Furious,Rob Cohen,106 min,2001,5,5,4,4,10,7,5,9,10,3,8,6,5,7,8,6,6,3,7,6
In Bruges,Martin McDonagh,107 min,2008,4,6,5,10,7,4,3,4,6,6,8,7,7,5,8,4,4,5,10,4
No Country for Old Men,Ethan Coen,122 min,2007,9,10,10,4,6,7,3,10,10,8,3,10,9,7,3,8,5,3,9,6
Emily the Criminal,John Patton Ford,97 min,2022,3,4,7,7,9,4,9,10,8,9,10,7,7,7,3,7,7,3,3,6
Taxi Driver,Martin Scorsese,114 min,1976,8,3,7,9,7,4,9,4,6,5,9,8,10,3,7,10,9,3,6,3
Goodfellas,Martin Scorsese,145 min,1990,10,7,10,8,10,5,7,4,3,3,3,9,3,6,4,9,7,4,7,3
Death on the Nile,Kenneth Branagh,127 min,2022,8,3,7,9,9,10,10,4,5,5,7,7,5,3,5,6,4,7,9,8
Se7en,David Fincher,127 min,1995,3,7,10,4,10,7,3,10,8,5,5,8,9,6,6,6,10,7,5,3
Shazam! Fury of the Gods,David F. Sandberg,130 min,2023,5,8,3,9,6,3,5,10,5,9,6,10,6,7,7,3,8,8,8,4
The Silence of the Lambs,Jonathan Demme,118 min,1991,4,4,9,10,6,6,3,9,7,8,6,10,4,6,5,4,7,7,8,8
Heat,Michael Mann,170 min,1995,7,4,4,7,8,9,5,6,3,10,9,5,9,4,6,5,8,4,6,3
The Departed,Martin Scorsese,151 min,2006,4,9,4,3,8,7,10,4,7,9,8,10,9,9,7,7,10,8,5,5
