Movie,Director,Runtime,Release,User-1,User-2,User-3,User-4,User-5,User-6,User-7,User-8,User-9,User-10,User-11,User-12,User-13,User-14,User-15,User-16,User-17,User-18,User-19,User-20
Babylon,Damien Chazelle,189 minutes,2022,7,3,5,8,10,9,4,7,6,7,9,3,7,3,6,6,10,7,7,7
Amsterdam,David O. Russell,134 minutes,2022,8,10,8,3,10,4,8,8,4,8,10,9,8,5,9,7,9,8,10,8
The Northman,Robert Eggers,137 minutes,2022,5,9,7,7,5,10,8,3,9,6,10,10,9,9,10,4,4,8,3,3
Narvik: Hitler's First Defeat,Erik Skjoldbjærg,108 minutes,2022,9,9,3,4,4,4,3,6,9,10,3,5,9,9,7,9,6,4,3,6
The Woman King,Gina Prince-Bythewood,135 minutes,2022,3,6,5,7,8,7,4,5,8,6,10,10,7,8,3,9,5,5,6,3
Oppenheimer,Christopher Nolan,180 minutes,2023,7,4,3,9,10,3,8,5,8,9,9,9,7,4,10,8,9,10,6,10
Killers of the Flower Moon,Martin Scorsese,206 minutes,2023,5,4,7,4,8,8,8,9,4,8,5,9,5,4,3,9,10,5,10,4
Schindler's List,Steven Spielberg,195 minutes,1993,3,5,4,6,6,8,3,5,3,10,6,3,10,6,7,4,3,5,8,5
She Said,Maria Schrader,129 minutes,2022,8,8,6,10,6,4,7,4,7,4,9,4,4,5,8,3,3,10,4,9
Dunkirk,Christopher Nolan,106 minutes,2017,9,8,8,7,6,6,9,6,6,10,10,9,7,4,6,4,5,4,5,7
Hidden Figures,Theodore Melfi,127 minutes,2016,7,8,3,6,8,9,7,4,8,5,6,9,4,9,5,8,4,5,3,7
Till,Chinonye Chukwu,130 minutes,2022,10,4,10,3,4,8,3,7,8,5,10,4,4,9,3,8,10,7,10,6
Mission Majnu,Shantanu Bagchi,129 minutes,2023,9,10,3,7,4,10,6,6,5,6,4,7,10,3,9,10,6,5,5,6
Hacksaw Ridge,Mel Gibson,139 minutes,2016,10,10,9,6,10,7,6,6,6,7,5,5,4,6,6,3,6,10,5,4
Medieval,Petr Jákl,126 minutes,2022,5,10,8,9,10,5,3,6,10,10,3,10,5,5,5,7,3,9,8,7
The Big Short,Adam McKay,130 minutes,2015,4,5,3,5,6,9,7,7,8,9,9,7,3,9,7,6,8,10,6,7
Braveheart,Mel Gibson,178 minutes,1995,8,5,7,6,8,3,4,5,3,7,9,6,4,5,5,10,7,10,5,9
"Argentina, 1985",Santiago Mitre,140 minutes,2022,8,9,4,6,7,6,7,5,8,10,4,7,10,10,4,7,10,8,8,6
Tombstone,George P. Cosmatos,130 minutes,1993,3,6,5,5,6,7,5,9,10,8,8,7,4,6,10,3,6,6,4,7
The Last Duel,Ridley Scott,153 minutes,2021,9,8,9,3,3,7,4,3,4,5,6,9,7,3,8,5,3,3,4,9
Hamilton,Thomas Kail,160 minutes,2020,4,6,4,6,6,9,10,6,9,7,6,10,10,10,8,6,8,6,8,6
BlackBerry,Matt Johnson,120 minutes,2023,3,5,10,3,7,7,10,10,8,10,5,9,3,5,7,8,7,9,6,6
The King,David Michôd,140 minutes,2019,7,3,6,3,3,5,3,5,10,10,9,9,8,10,8,3,9,9,4,4
Kingdom of Heaven,Ridley Scott,144 minutes,2005,9,9,10,9,10,8,8,10,10,4,4,4,4,4,9,7,4,3,9,6
Caligula,Tinto Brass,156 minutes,1979,8,5,6,7,5,5,3,8,4,4,10,6,3,6,3,7,9,7,8,4
JFK,Oliver Stone,189 minutes,1991,9,4,8,6,10,4,5,5,10,9,8,6,3,4,3,7,3,8,6,10
History of the World: Part I,Mel Brooks,92 minutes,1981,8,8,8,6,8,10,10,3,7,5,5,5,5,7,4,9,4,5,8,8
Black Hawk Down,Ridley Scott,144 minutes,2001,7,5,3,7,8,4,8,9,10,3,8,9,9,8,5,7,3,7,6,8
Malcolm X,Spike Lee,202 minutes,1992,4,6,3,4,5,6,4,9,3,8,8,4,4,8,8,3,10,6,10,3
12 Years a Slave,Steve McQueen,134 minutes,2013,5,8,8,10,10,6,3,3,4,5,6,6,8,9,10,7,3,9,9,4
Corsage,Marie Kreutzer,113 minutes,2022,5,10,10,8,5,8,8,8,4,5,5,10,9,6,10,4,3,5,4,7
The Impossible,J.A. Bayona,114 minutes,2012,4,3,7,5,4,4,3,5,3,4,7,6,10,9,8,3,8,10,10,3
Inherit the Wind,Stanley Kramer,128 minutes,1960,10,3,5,8,4,10,6,7,4,9,5,3,6,3,10,6,7,3,7,9
Pearl Harbor,Michael Bay,183 minutes,2001,10,10,3,10,7,3,3,8,3,6,9,7,7,7,8,3,9,4,7,3
13 Hours,Michael Bay,144 minutes,2016,3,10,7,8,9,6,9,3,6,10,6,7,5,3,5,4,3,4,9,10
The Favourite,Yorgos Lanthimos,119 minutes,2018,10,5,9,6,8,8,8,4,10,4,4,10,6,5,10,5,4,9,6,9
Zero Dark Thirty,Kathryn Bigelow,157 minutes,2012,7,7,4,9,7,3,10,3,8,8,9,10,3,10,8,5,3,7,7,7
21,Robert Luketic,123 minutes,2008,6,10,8,7,6,5,10,5,8,4,9,3,10,4,9,6,5,6,5,10
Downfall,Oliver Hirschbiegel,156 minutes,2004,6,7,7,7,10,8,8,5,10,5,8,6,4,10,8,10,9,8,7,4
