Movie,Director,Runtime,Release,User-1,User-2,User-3,User-4,User-5,User-6,User-7,User-8,User-9,User-10,User-11,User-12,User-13,User-14,User-15,User-16,User-17,User-18,User-19,User-20
Peter Pan & Wendy,David Lowery,106 min,2023,10,7,5,5,10,7,5,5,6,9,6,9,3,10,9,5,9,6,5,7
Puss in Boots: The Last Wish,Joel Crawford,102 min,2022,7,6,4,9,7,6,10,4,9,8,7,7,5,9,9,7,4,9,8,10
Your Place or Mine,Aline Brosh McKenna,109 min,2023,7,4,7,7,5,10,6,7,7,8,9,8,9,4,3,7,5,9,7,9
The Little Mermaid,Rob Marshall,135 min,2023,10,4,4,8,3,6,7,4,3,10,9,10,9,4,8,3,10,8,4,8
Somebody I Used to Know,Dave Franco,106 min,2023,8,6,7,6,3,10,5,4,9,6,8,7,6,8,8,4,5,10,5,8
Titanic,James Cameron,194 min,1997,10,10,10,3,8,9,6,3,7,7,4,4,3,4,8,3,5,10,4,3
The Super Mario Bros. Movie,Aaron Horvath,92 min,2023,4,7,6,7,3,8,5,3,7,8,7,6,6,9,7,7,7,3,10,7
You People,Kenya Barris,117 min,2023,5,4,5,4,4,7,3,9,4,9,10,6,8,6,6,7,3,8,9,4
Empire of Light,Sam Mendes,115 min,2022,9,9,7,8,6,5,4,8,10,4,5,7,3,6,4,8,3,9,7,3
Spin Me Round,Jeff Baena,104 min,2022,6,9,5,4,5,9,10,5,8,4,3,7,5,8,6,6,6,3,5,10
Love,Gaspar Noé,135 min,2015,4,8,3,7,8,7,3,4,3,9,8,4,3,8,4,4,8,8,3,3
Where the Crawdads Sing,Olivia Newman,125 min,2022,9,7,10,4,8,9,7,7,5,3,4,3,10,8,4,5,6,3,5,5
What's Love Got to Do with It?,Shekhar Kapur,108 min,2022,7,4,7,3,10,7,8,8,10,3,7,3,8,9,8,7,3,5,3,4
Thor: Love and Thunder,Taika Waititi,118 min,2022,5,5,9,4,3,9,10,10,4,5,7,3,3,8,9,3,9,6,5,7
Shotgun Wedding,Jason Moore,100 min,2022,7,5,10,3,5,6,4,8,4,10,7,10,9,3,9,5,6,7,3,6
Emily,Frances O'Connor,130 min,2022,8,8,5,9,8,6,4,7,4,4,7,7,10,3,7,8,10,9,9,10
Blonde,Andrew Dominik,167 min,2022,3,6,7,3,8,6,3,6,6,5,5,9,7,7,9,4,4,9,4,9
Barbie,Greta Gerwig,114 min,2023,5,8,5,3,5,3,5,9,4,8,10,5,5,5,4,9,7,8,8,5
Good Will Hunting,Gus Van Sant,126 min,1997,3,4,3,6,6,7,6,3,10,6,10,6,5,4,10,10,10,10,4,9
Forrest Gump,Robert Zemeckis,142 min,1994,3,6,3,3,5,8,7,7,7,3,4,3,8,4,10,7,8,7,8,3
Grease,Randal Kleiser,110 min,1978,7,9,9,5,6,8,6,6,3,9,9,5,5,8,7,9,10,4,9,5
Teen Wolf: The Movie,Russell Mulcahy,140 min,2023,5,5,7,3,5,5,6,5,8,7,5,4,4,10,4,3,10,7,5,10
Fifty Shades of Grey,Sam Taylor-Johnson,125 min,2015,4,5,8,6,8,3,9,10,8,5,5,3,7,8,7,8,4,7,8,10
Bones and All,Luca Guadagnino,131 min,2022,8,6,4,9,5,10,8,8,3,7,6,4,5,4,7,9,8,10,7,9
The Parent Trap,Nancy Meyers,128 min,1998,7,3,4,6,8,9,5,5,7,4,6,7,3,6,6,3,3,8,8,8
Peter Pan,P.J. Hogan,113 min,2003,5,6,9,4,8,3,5,3,5,5,7,5,7,4,10,8,7,6,9,7
Ticket to Paradise,Ol Parker,104 min,2022,4,9,4,10,8,8,7,6,7,6,5,7,6,5,4,7,9,7,4,3
The Great Gatsby,Baz Luhrmann,143 min,2013,9,7,8,4,10,4,10,8,5,4,9,5,3,4,10,3,4,3,8,4
Decision to Leave,Park Chan-wook,139 min,2022,6,4,9,9,6,10,4,3,3,7,5,5,6,4,7,7,8,9,7,9
Little Women,Greta Gerwig,135 min,2019,4,10,6,5,3,8,3,4,5,9,6,6,4,4,10,4,8,6,4,4
La La Land,Damien Chazelle,128 min,2016,3,8,7,7,8,9,9,6,4,4,3,7,10,6,5,3,4,8,8,3
This Is 40,Judd Apatow,134 min,2012,5,6,7,8,9,7,4,6,9,5,4,7,9,9,6,9,6,8,5,7
Tonight You're Sleeping with Me,Robert Wichrowski,92 min,2023,3,8,10,9,8,9,5,9,5,10,10,4,7,7,8,7,7,7,7,6
Eternal Sunshine of the Spotless Mind,Michel Gondry,108 min,2004,8,6,10,9,9,8,4,3,3,6,5,8,3,10,3,10,5,5,4,4
Pride & Prejudice,Joe Wright,129 min,2005,8,3,6,10,8,5,6,3,3,3,5,9,3,5,10,9,5,6,4,7
