Movie,Director,Runtime,Release,User-1,User-2,User-3,User-4,User-5,User-6,User-7,User-8,User-9,User-10,User-11,User-12,User-13,User-14,User-15,User-16,User-17,User-18,User-19,User-20
Black Panther: Wakanda Forever,Ryan Coogler,161 min,2022,6,9,9,5,4,5,4,9,4,6,6,8,7,6,9,5,3,6,3,10
Knock at the Cabin,M. Night Shyamalan,100 min,2023,8,5,3,8,3,4,8,4,3,8,4,7,6,6,7,4,5,10,10,8
Plane,Jean-François Richet,107 min,2023,3,4,6,8,6,3,10,4,5,9,6,4,6,5,5,4,8,7,8,8
The Menu,Mark Mylod,107 min,2022,7,9,5,10,5,5,8,8,9,6,7,3,7,4,9,5,6,9,8,10
Fast X,Louis Leterrier,141 min,2023,5,7,6,3,8,6,5,8,10,5,10,6,6,4,3,8,3,9,5,4
M3GAN,Gerard Johnstone,102 min,2022,6,5,8,10,6,4,8,3,7,9,8,6,5,6,6,10,10,5,4,5
Ant-Man and the Wasp: Quantumania,Peyton Reed,125 min,2023,9,5,3,5,4,3,10,3,7,9,10,6,10,8,5,7,9,9,10,10
Bullet Train,David Leitch,127 min,2022,5,6,6,10,9,10,6,3,8,5,10,10,10,5,10,10,7,5,8,4
Glass Onion,Rian Johnson,139 min,2022,8,4,8,7,8,5,9,7,9,6,4,5,7,4,6,3,3,9,10,10
Viking Wolf,Stig Svendsen,97 min,2022,9,3,9,9,9,3,5,4,6,8,7,9,3,7,4,8,8,8,10,9
Infinity Pool,Brandon Cronenberg,117 min,2023,8,8,5,5,3,6,4,4,3,5,4,6,9,9,4,9,6,4,3,10
Scream VI,Matt Bettinelli-Olpin,123 min,2023,5,8,8,6,8,7,6,8,10,3,7,5,4,10,7,3,3,3,9,10
Cocaine Bear,Elizabeth Banks,95 min,2023,4,4,7,6,3,5,3,10,10,10,7,8,6,6,3,3,9,4,10,8
The Pale Blue Eye,Scott Cooper,128 min,2022,5,4,10,4,9,6,8,8,6,7,10,7,7,4,10,9,9,8,9,4
Pathaan,Siddharth Anand,146 min,2023,8,4,9,3,3,5,8,9,7,8,5,9,8,9,10,3,8,4,5,3
X,Ti West,105 min,2022,7,9,6,4,10,9,6,8,7,8,5,8,9,5,3,9,10,9,9,3
"Alice, Darling",Mary Nighy,89 min,2022,4,4,6,5,4,6,9,8,10,3,5,4,7,8,8,5,9,7,7,4
Teen Wolf: The Movie,Russell Mulcahy,140 min,2023,4,6,4,5,6,6,6,4,5,5,3,7,4,4,3,6,9,6,10,5
Blood,Brad Anderson,108 min,2022,6,3,4,6,9,6,4,9,6,8,5,10,10,9,7,7,10,8,6,6
Infiesto,Patxi Amezcua,96 min,2023,7,5,4,8,9,10,4,5,8,3,8,4,3,9,10,5,5,6,10,9
Amsterdam,David O. Russell,134 min,2022,4,3,5,7,10,10,7,8,7,6,7,6,3,10,5,9,5,6,5,4
The Batman,Matt Reeves,176 min,2022,3,9,4,9,9,3,8,6,6,3,7,8,7,3,10,5,5,3,6,10
Baby Ruby,Bess Wohl,93 min,2022,10,8,9,8,9,10,5,7,7,4,3,5,4,8,10,9,3,6,5,4
Where the Crawdads Sing,Olivia Newman,125 min,2022,9,5,5,5,3,6,7,10,5,6,9,10,5,9,3,10,4,3,10,10
Knives Out,Rian Johnson,130 min,2019,10,9,5,8,7,4,9,6,3,9,9,8,8,5,7,6,3,10,6,4
Barbarian,Zach Cregger,102 min,2022,5,4,10,7,9,9,8,8,9,4,8,6,4,10,10,4,9,6,3,5
Missing,Nicholas D. Johnson,111 min,2023,7,5,9,5,8,9,8,10,10,9,8,6,8,4,9,6,6,4,9,8
Don't Worry Darling,Olivia Wilde,123 min,2022,8,10,4,7,7,6,3,8,9,8,7,3,10,4,9,4,9,6,6,10
Operation Fortune: Ruse de guerre,Guy Ritchie,114 min,2023,6,7,5,10,6,6,6,4,4,6,9,6,10,7,10,10,6,4,4,9
Vadh,Jaspal Singh Sandhu,110 min,2022,7,6,10,5,9,4,5,8,5,6,5,9,3,10,3,10,10,3,5,4
Jurassic World: Dominion,Colin Trevorrow,147 min,2022,8,8,9,3,5,4,7,8,7,5,3,10,10,4,7,5,3,6,5,5
Vengeance,B.J. Novak,107 min,2022,7,10,7,3,5,8,7,8,10,5,10,8,3,8,4,7,4,9,10,6
Smile,Parker Finn,115 min,2022,10,4,4,6,6,10,6,9,6,8,4,8,6,8,6,5,3,3,7,10
The Hunger Games,Gary Ross,142 min,2012,9,3,6,8,3,7,10,6,7,9,9,7,10,6,8,7,8,7,10,5
The Northman,Robert Eggers,137 min,2022,4,5,10,3,3,9,8,3,3,9,8,9,5,3,9,4,10,5,6,4
Fall,Scott Mann,107 min,2022,9,7,9,5,5,10,9,6,3,5,3,6,7,6,10,4,8,8,5,5
Nope,Jordan Peele,130 min,2022,3,4,4,5,3,4,7,4,3,7,4,7,9,8,6,5,8,8,8,6
The Unbearable Weight of Massive Talent,Tom Gormican,107 min,2022,7,3,7,3,10,4,7,7,9,3,6,9,7,7,8,8,4,5,6,8
The Covenant,Guy Ritchie,123 min,2023,6,7,7,9,10,4,5,5,10,10,8,10,4,4,9,10,10,4,10,4
Jeepers Creepers: Reborn,Timo Vuorensola,88 min,2022,4,5,4,10,5,10,3,7,10,7,4,3,3,10,10,6,6,5,6,9
Scream,Matt Bettinelli-Olpin,114 min,2022,8,4,6,7,10,9,8,3,10,4,5,5,3,9,8,4,5,6,3,5
The Locksmith,Nicolas Harvard,92 min,2023,9,10,10,6,6,6,5,5,6,3,7,5,3,8,4,5,9,3,9,10
The Dark Knight,Christopher Nolan,152 min,2008,3,6,3,4,6,10,9,7,6,6,5,5,5,9,10,7,4,9,9,7
Inception,Christopher Nolan,148 min,2010,10,6,7,7,9,5,3,10,7,6,4,5,3,10,5,8,6,5,7,7
Black Swan,Darren Aronofsky,108 min,2010,7,6,5,8,10,6,8,3,6,8,5,3,9,8,5,6,10,6,5,6
John Wick: Chapter 4,Chad Stahelski,169 min,2023,6,10,6,9,4,9,6,10,4,10,9,10,8,6,3,5,3,4,8,3
Old,M. Night Shyamalan,108 min,2021,6,10,10,3,10,5,5,3,9,6,9,6,4,10,9,5,8,10,10,9
Midsommar,Ari Aster,148 min,2019,10,5,5,4,6,10,5,6,6,7,5,3,5,5,8,4,5,4,6,5
Decision to Leave,Park Chan-wook,139 min,2022,3,9,5,4,5,4,10,6,10,7,8,5,10,4,4,3,10,9,9,8
65,Scott Beck,93 min,2023,4,10,3,9,10,4,8,7,5,4,4,3,4,3,9,7,5,9,6,8
Little Dixie,John Swab,105 min,2023,7,7,5,4,5,4,4,7,4,9,10,4,8,9,7,10,10,3,6,9
The Black Phone,Scott Derrickson,103 min,2021,9,10,9,8,6,7,3,6,4,7,4,9,4,3,8,8,3,3,7,10
An Action Hero,Anirudh Iyer,130 min,2022,6,6,10,5,7,7,3,6,3,4,10,4,9,7,10,6,8,10,9,10
The Boogeyman,Rob Savage,99 min,2023,10,3,7,6,9,4,10,9,10,9,7,9,8,8,3,7,7,6,7,7
Killers of the Flower Moon,Martin Scorsese,146 min,2023,9,7,10,10,3,8,5,8,9,6,7,6,6,9,7,8,8,5,10,5
Luther: The Fallen Sun,Jamie Payne,129 min,2023,4,8,7,9,7,5,3,8,4,9,9,6,5,8,10,8,9,8,3,9
John Wick,Chad Stahelski,101 min,2014,4,3,5,4,5,10,9,5,5,8,10,6,6,6,7,4,8,7,10,10
Blade Runner 2049,Denis Villeneuve,164 min,2017,7,9,5,10,7,5,5,5,10,4,5,5,9,3,5,6,3,9,10,6
Hereditary,Ari Aster,127 min,2018,6,3,6,8,6,4,5,8,6,9,10,4,5,6,4,4,4,9,4,8
F9: The Fast Saga,Justin Lin,143 min,2021,10,5,7,10,4,9,3,7,6,10,5,4,9,5,7,4,6,9,4,6
Parasite,Bong Joon Ho,132 min,2019,7,10,9,3,8,5,5,6,9,6,8,4,10,4,9,9,7,8,8,7
